National personal identifier endonym kebab case	National personal identifier exonym kebab case	Country name endonym	Country name exonym English	Country ISO 3166-1 code	Personal identifier name endonym	Personal identifier exonym English	Wikipedia link	Description	Where to find it
slovensko-rodne-cislo	slovakia-birth-number	Slovensko	Slovakia	SK	Rodné číslo (RČ)	Birth Number / Personal Number	[National identification number — Slovakia](https://en.wikipedia.org/wiki/National_identification_number#Slovakia)	Ten-digit code in the form YYMMDDCCCX: the first six digits are the date of birth (with month offset of +50 for women, so MM is 01–12 for men and 51–62 for women), CCC is a serial number distinguishing persons born on the same date, and X is a check digit such that the entire number is divisible by 11.	Birth certificate (rodný list), national ID card (občiansky preukaz), driving licence, and other personal documents.
south-africa-identity-number	south-africa-identity-number	South Africa / Suid-Afrika / iRiphabhuliki yaseNingizimu Afrika	South Africa	ZA	South African Identity Number	South African Identity Number	[South African Identity Card](https://en.wikipedia.org/wiki/South_African_Identity_Card)	Thirteen digits in the format YYMMDDSSSSCAZ: YYMMDD is the date of birth; SSSS is a sex serial (0000–4999 female, 5000–9999 male); C is citizenship status at birth (0 South African citizen, 1 permanent resident); A is a legacy “race” indicator now fixed at 8 or 9; and Z is a Luhn check digit.	Smart ID Card or Green Barcoded ID Book issued by the Department of Home Affairs (DHA), driving licence, and passport.
srbija-jedinstveni-maticni-broj-gradjana	serbia-unique-master-citizen-number	Србија / Srbija	Serbia	RS	Јединствени матични број грађана (ЈМБГ) / Jedinstveni matični broj građana (JMBG)	Unique Master Citizen Number (JMBG)	[Unique Master Citizen Number](https://en.wikipedia.org/wiki/Unique_Master_Citizen_Number)	Thirteen digits in the form DDMMYYY-RR-GGGC: seven-digit date of birth (last three digits of the year), two-digit registry / republic code for the region of birth (Serbia 70–79; Vojvodina 80–89; Kosovo 90–99 for pre-1999 issuance; specific district codes within each), three digits combining sex and serial (000–499 male, 500–999 female), and a weighted Modulus-11 check digit. The same JMBG scheme is shared across the former Yugoslav republics.	Lična karta (national ID card) and pasoš (passport) issued by the Ministry of Internal Affairs (MUP), driving licence, and tax records.
sri-lanka-jatika-handunumpata	sri-lanka-national-identity-card	ශ්‍රී ලංකා / இலங்கை	Sri Lanka	LK	ජාතික හැඳුනුම්පත (Jātika Handunumpata) / தேசிய அடையாள அட்டை	National Identity Card (NIC) Number	[Sri Lankan identity card](https://en.wikipedia.org/wiki/Sri_Lankan_identity_card)	Two formats coexist. Legacy NICs use nine digits and a letter (e.g. 200123456V): the first two digits are the last two of the year of birth, the next three are the day-of-year (+500 added for women), then a four-digit serial, and a verification character (V for citizens, X for non-citizens). The 2016 e-NIC uses twelve digits, expanding year of birth to four digits and dropping the trailing letter.	National Identity Card (NIC) issued by the Department for Registration of Persons.
suomi-henkilotunnus	finland-personal-identity-code	Suomi	Finland	FI	Henkilötunnus (HETU)	Personal Identity Code	[Personal identity code (Finland)](https://en.wikipedia.org/wiki/Personal_identity_code_(Finland))	Eleven characters of the form DDMMYYCZZZQ: DDMMYY is the date of birth, C is the century sign (+ for 1800–1899, - for 1900–1999, A for 2000–2099), ZZZ is the individual number (odd for males and even for females; for people born in Finland the range is 002–899), and Q is the check character (a digit or letter from a defined alphabet). Example: 311280-888Y.	Finnish ID card, passport, residence permit, driving licence, and the Suomi.fi portal.
sverige-personnummer	sweden-personal-identity-number	Sverige	Sweden	SE	Personnummer	Personal Identity Number	[Personal identity number (Sweden)](https://en.wikipedia.org/wiki/Personal_identity_number_(Sweden))	National identification number issued by Skatteverket since 1947, twelve digits CCYYMMDDZZZQ in automated data (or ten digits when the century is implicit). CCYYMMDD is the date of birth, ZZZ is the individual serial number whose third digit is odd for males and even for females, and Q is a Luhn check digit.	Passports, national ID cards, driving licences, health-care cards, payslips, and tax correspondence; held by the Swedish Tax Agency (Skatteverket).
taiwan-guomin-shenfenzheng	taiwan-national-identification-card-number	臺灣 / 中華民國	Taiwan	TW	國民身分證統一編號 (Guómín Shēnfènzhèng Tǒngyī Biānhào)	National Identification Card Number	[National Identification Card (Republic of China)](https://en.wikipedia.org/wiki/National_Identification_Card_(Republic_of_China))	One letter (A–Z, indicating the place of household registration; e.g. A = Taipei City, B = Taichung City, C = Keelung City) followed by nine digits: a sex digit (1 male, 2 female), seven serial digits, and a final check digit. The leading letter is converted to two digits via a lookup table, then a weighted sum modulo 10 yields the check digit.	National Identification Card (中華民國國民身分證) issued by the Household Registration Office of the Ministry of the Interior, household registration transcript (戶籍謄本), and the My Data (我的E政府) portal.
tanzania-namba-ya-utambulisho-wa-taifa	tanzania-national-identification-number	Tanzania	Tanzania	TZ	Namba ya Utambulisho wa Taifa (NIN)	National Identification Number (NIN)	[National Identification Authority (Tanzania)](https://en.wikipedia.org/wiki/National_Identification_Authority_(Tanzania))	Twenty-digit number assigned by the National Identification Authority (NIDA) to every Tanzanian citizen and long-term resident; encodes the year and country of birth, region and district of registration, and a serial.	National ID card (Kitambulisho cha Taifa) issued by NIDA; required for SIM-card registration, banking, employment, and most government services.
thailand-lekprajamtua-prachachon	thailand-national-identification-number	ประเทศไทย	Thailand	TH	เลขประจำตัวประชาชน (Lek Prajam Tua Prachāchon)	National Identification Number	[Thai identity card](https://en.wikipedia.org/wiki/Thai_identity_card)	Thirteen digits in the form X-XXXX-XXXXX-XX-X. The first digit classifies the type of registration (1 Thai citizens born after 1 January 1984 and registered within the deadline; 2 Thais registered late; 3 Thais already in the registry before 1984; 4 those who were registered as Thai citizens after 1984; 5 added later to the registry; 6–7 foreign residents; 8 newly naturalised; 0 temporary identification). The following digits encode the registration district and a serial; the last digit is a Modulus-11 check digit (sum of digits 1–12 multiplied by weights 13–2, mod 11, then 11 minus the remainder mod 10).	Smart ID Card (บัตรประจำตัวประชาชน) issued by the Department of Provincial Administration (DOPA, กรมการปกครอง), Thai house registration (ทะเบียนบ้าน), and the ThaID government identity app.
tunis-bitaqat-ta-rif-wataniya	tunisia-carte-d-identite-nationale	تونس	Tunisia	TN	بطاقة التعريف الوطنية / Carte d'Identité Nationale (CIN)	National Identity Card (CIN) Number	[Tunisian identity card](https://en.wikipedia.org/wiki/Tunisian_identity_card)	Eight-digit unique identifier assigned by the Ministry of the Interior at age 18 (or earlier for travel); printed on the CIN, embossed on banking and tax records, and reused as the personal portion of the matricule fiscal (tax registration).	Carte d'Identité Nationale (بطاقة التعريف الوطنية) issued by the Ministry of the Interior; passport.
turkiye-tc-kimlik-numarasi	turkey-republic-of-turkiye-identification-number	Türkiye	Turkey	TR	T.C. Kimlik Numarası	Republic of Türkiye Identification Number	[Turkish Identification Number](https://en.wikipedia.org/wiki/Turkish_Identification_Number)	Eleven digits that can never start with 0; the tenth digit equals ((sum of digits 1,3,5,7,9 × 7) − (sum of digits 2,4,6,8)) mod 10, and the eleventh equals (sum of the first ten digits) mod 10. Issued by the General Directorate of Civil Registration and Nationality (Nüfus ve Vatandaşlık İşleri).	Turkish ID card (T.C. Kimlik Kartı), passport, driving licence, and the e-Devlet (e-Government) portal.
ukrayina-rnokpp	ukraine-registration-number-of-the-taxpayer-account-card	Україна	Ukraine	UA	Реєстраційний номер облікової картки платника податків (РНОКПП) / “ідентифікаційний код”	Registration Number of the Taxpayer Account Card (RNTRC) / Individual Tax Number	[National identification number — Ukraine](https://en.wikipedia.org/wiki/National_identification_number#Ukraine)	Ten digits: the first five encode the number of days from 1 January 1900 to the date of birth, the next four are a serial number whose ninth digit encodes sex (odd male, even female), and the tenth is a weighted Modulus-11 check digit (weights −1,5,7,9,4,6,10,5,7).	Taxpayer Account Card (картка платника податків) issued by the State Tax Service of Ukraine, ID-card (паспорт громадянина України у формі ID-картки), and the Diia portal / app.
united-arab-emirates-emirates-id	united-arab-emirates-emirates-id	الإمارات العربية المتحدة	United Arab Emirates	AE	بطاقة الهوية (Emirates ID)	Emirates ID	[Emirates Identity Card](https://en.wikipedia.org/wiki/Emirates_Identity_Card)	Fifteen-digit number in the format 784-YYYY-XXXXXXX-C: 784 is the ISO 3166-1 numeric code for the UAE; YYYY is the year of birth; XXXXXXX is a serial; and C is a Luhn-style check digit. Issued by the Federal Authority for Identity, Citizenship, Customs and Port Security (ICP).	Emirates ID card carried by all citizens and residents, the ICP app, and the UAE Pass digital identity wallet.
united-kingdom-national-health-service-number	united-kingdom-national-health-service-number	United Kingdom	United Kingdom	GB	National Health Service (NHS) Number	National Health Service (NHS) Number	[NHS number](https://en.wikipedia.org/wiki/NHS_number)	Shared NHS numbering scheme across England, Wales, and the Isle of Man: ten digits in 3-3-4 format with a Modulus-11 check digit. Scotland and Northern Ireland operate parallel schemes (CHI and H&C Number) using the same ten-digit shape.	NHS medical card, GP correspondence, prescriptions, hospital letters, and the NHS App.
united-kingdom-national-insurance-number	united-kingdom-national-insurance-number	United Kingdom	United Kingdom	GB	National Insurance Number (NINO)	National Insurance Number (NINO)	[National Insurance number](https://en.wikipedia.org/wiki/National_Insurance_number)	Two prefix letters, six digits, and one suffix letter (always A, B, C, or D). Example: AB123456A. The letters D, F, I, Q, U, and V are not used as either of the first two letters of the prefix; O is not used as the second letter. Administrative prefixes used internally by HMRC and DWP (OO, CR, FY, MW, NC, PP, PZ, TN) are not valid NINOs.	Plastic National Insurance card (legacy), letters from HMRC or DWP, payslips, form P60, tax returns, and the HMRC personal tax account.
united-states-individual-taxpayer-identification-number	united-states-individual-taxpayer-identification-number	United States	United States	US	Individual Taxpayer Identification Number (ITIN)	Individual Taxpayer Identification Number (ITIN)	[Individual Taxpayer Identification Number](https://en.wikipedia.org/wiki/Individual_Taxpayer_Identification_Number)	Nine-digit tax processing number issued by the Internal Revenue Service (IRS) to individuals who are required to have a U.S. taxpayer identification number but are not eligible for an SSN. Always begins with 9 and has a fourth digit in the range 50–65, 70–88, 90–92, or 94–99 (e.g. 9XX-7X-XXXX).	IRS notice CP565 (ITIN assignment letter), tax returns (Form 1040 and W-7 application), and W-9 / 1099 / 1042-S information returns.
united-states-social-security-number	united-states-social-security-number	United States	United States	US	Social Security Number (SSN)	Social Security Number (SSN)	[Social Security number](https://en.wikipedia.org/wiki/Social_Security_number)	Nine-digit number in XXX-XX-XXXX format issued by the Social Security Administration since 1936 to track workers' earnings; randomised since 2011. Now a de facto national identifier in the United States.	Social Security card, W-2 forms, tax returns (IRS Form 1040), payslips, and the SSA “my Social Security” portal.
uruguay-cedula-de-identidad	uruguay-identity-card	Uruguay	Uruguay	UY	Cédula de Identidad (CI)	Identity Card	[Identity document — Uruguay](https://en.wikipedia.org/wiki/Identity_document#Uruguay)	Eight digits in the format X.XXX.XXX-X: seven sequential digits and a final check digit computed with weights 2,9,8,7,6,3,4 modulo 10.	Cédula de Identidad issued by the Dirección Nacional de Identificación Civil (DNIC) of the Ministry of the Interior; used for voting, banking, and government services.
uzbekistan-shaxsiy-identifikatsiya-raqami	uzbekistan-personal-identification-number	Oʻzbekiston	Uzbekistan	UZ	Shaxsiy identifikatsiya raqami (PINFL) / Шахсий идентификация рақами	Personal Identification Number (PINFL)	[National identification number — Uzbekistan](https://en.wikipedia.org/wiki/National_identification_number#Uzbekistan)	Fourteen digits issued by the State Personalisation Centre. The leading digit encodes century and sex (3 male / 4 female 1900–1999; 5 male / 6 female 2000–2099); the next six digits are the date of birth (YYMMDD); the remaining seven digits are a serial number including a final check digit.	Uzbek biometric ID-card (ID-karta), biometric passport, and the My ID app.
venezuela-cedula-de-identidad	venezuela-identity-card	Venezuela	Venezuela	VE	Cédula de Identidad	Identity Card	[Venezuelan identity card](https://en.wikipedia.org/wiki/Venezuelan_identity_card)	A prefix letter (V for Venezuelan citizens, E for foreign residents) followed by up to nine digits. The base number is permanent and is reused as the Registro de Información Fiscal (RIF) tax identifier with the addition of a verification digit.	Cédula de Identidad Laminada issued by the Servicio Administrativo de Identificación, Migración y Extranjería (SAIME); voter rolls; RIF tax records.
viet-nam-can-cuoc-cong-dan	vietnam-citizen-identification-card	Việt Nam	Vietnam	VN	Căn Cước Công Dân (CCCD)	Citizen Identification Card Number	[Vietnamese identity card](https://en.wikipedia.org/wiki/Vietnamese_identity_card)	Twelve digits in the form PPPGYYNNNNNN: PPP is a three-digit code for the province / city of registration; G encodes sex and century of birth (0 male / 1 female born 1900s; 2 male / 3 female born 2000s; 4 male / 5 female born 2100s; etc.); YY is the last two digits of the year of birth; and NNNNNN is a random serial.	Căn cước công dân chip card (which replaced the older 9-digit Chứng Minh Nhân Dân, CMND), the VNeID digital identity app, and household registration (sổ hộ khẩu).
xianggang-shenfenzheng	hong-kong-identity-card-number	香港	Hong Kong	HK	香港身份證 (Hēunggóng sānfánjing) / Hong Kong Identity Card	Hong Kong Identity Card (HKID) Number	[Hong Kong Identity Card](https://en.wikipedia.org/wiki/Hong_Kong_Identity_Card)	One or two prefix letters, six digits, and a check character in parentheses (a digit 0–9 or the letter A). Example: Z123456(A). The check character is computed by mapping each letter to a number (A=10, B=11, …), multiplying by weights 9 down to 1, summing modulo 11, then taking 11 − remainder (with 10 written as A and 11 as 0).	Hong Kong Identity Card issued by the Immigration Department, and the “iAM Smart” mobile identity app.
yisrael-mispar-zehut	israel-identity-number	ישראל	Israel	IL	מספר זהות (Mispar Zehut)	Identity Number	[Israeli identity card](https://en.wikipedia.org/wiki/Israeli_identity_card)	Nine digits, the last being a Luhn check digit computed with weights 1,2,1,2,… (sum of doubled-digit digit-sums). Stored left-padded with zeros when fewer than nine digits are recorded. Issued by the Population and Immigration Authority (רשות האוכלוסין וההגירה).	Israeli identity card (תעודת זהות, Teudat Zehut) including the smart biometric card, driving licence, passport (Darkon), and most government and banking services.
zhongguo-jumin-shenfenzheng	china-resident-identity-card	中国	China	CN	中华人民共和国居民身份证号码	Resident Identity Card Number	[Resident Identity Card](https://en.wikipedia.org/wiki/Resident_Identity_Card)	Eighteen characters in the form AAAAAA-YYYYMMDD-NNN-C: AAAAAA is the six-digit administrative-division code of the place of household registration (province, prefecture, county); YYYYMMDD is the date of birth; NNN is a three-digit serial whose final digit encodes sex (odd male, even female); and C is a check character (0–9 or X for 10) computed using the ISO 7064 MOD 11-2 algorithm.	居民身份证 (Resident Identity Card) issued by the Ministry of Public Security, hukou (户口) booklet, and electronic identity wallets in apps such as WeChat and Alipay.
